DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
DEBUG:root:TypeError: (5489, 'The Ventures', 'Love Goddess of Venus', None)
DEBUG:root:TypeError: (5493, 'The Ventures', 'Moon Child', None)
DEBUG:root:TypeError: (5519, 'The Ventures', 'The Twilight Zone', None)
